Part,Description,Quantity,Supplier,Unit Cost,Total Cost,Status,Notes
NEMA 17 Stepper,42mm stepper motor 1.8°/step,2,AliExpress/Amazon,8.00,,NOT_ORDERED,"Base (Yaw) + Elbow (Pitch)"
NEMA 23 Stepper,57mm stepper motor high torque,1,AliExpress/Amazon,15.00,,NOT_ORDERED,"Shoulder (Pitch) — cantilevered load"
MG996R Servo,Metal gear servo for gripper,1,AliExpress/Amazon,4.00,,NOT_ORDERED,"End effector — fin ray gripper"
ESP32-S3,Master node MCU,1,AliExpress/Amazon,8.00,,NOT_ORDERED,"IK solver + ESP-NOW hub"
ESP32-C6 Super Mini,Actuator node MCU,4,AliExpress/Amazon,4.00,,NOT_ORDERED,"1 per joint + 1 for teleop replica"
AS5600,Magnetic rotary encoder I2C,6,AliExpress/Amazon,2.00,,NOT_ORDERED,"3 arm joints + 3 teleop replica joints"
TMC2209,Silent stepper driver,2,AliExpress/Amazon,5.00,,NOT_ORDERED,"NEMA 17 joints (micro-stepping)"
TB6600,High current stepper driver,1,AliExpress/Amazon,10.00,,NOT_ORDERED,"NEMA 23 shoulder joint"
Diametric Magnet,6mm dia magnet for AS5600,6,AliExpress/Amazon,1.00,,NOT_ORDERED,"Must be diametrically magnetized"
GT2 Timing Belt,GT2 6mm wide closed loop,3,AliExpress/Amazon,2.00,,NOT_ORDERED,"2:1 belt stage per joint — length TBD by center distance"
GT2 20T Pulley,20-tooth GT2 pulley (bore to match motor shaft),3,3D Printed,0.00,,NOT_PRINTED,"Driver pulley (motor side) — ~12.7mm pitch dia"
GT2 40T Pulley,40-tooth GT2 pulley,3,3D Printed,0.00,,NOT_PRINTED,"Driven pulley (output side) — ~25.5mm pitch dia"
Buck Converter,Adjustable DC-DC step-down,4,AliExpress/Amazon,2.00,,NOT_ORDERED,"Logic power per node (24V → 3.3V)"
DC Power Supply,24V main supply,1,AliExpress/Amazon,15.00,,NOT_ORDERED,"Main DC bus"
USB Camera,720p+ USB or IP camera,1,AliExpress/Amazon,10.00,,NOT_ORDERED,"Overhead workspace view (Semester 2)"
PETG Filament,1.75mm FDM filament,2,AliExpress/Amazon,20.00,,NOT_ORDERED,"Gear + printed structural parts"
2020 Aluminum Extrusion,V-slot or T-slot profile for structural links,2,AliExpress/Amazon,5.00,,NOT_ORDERED,"Arm links"
Bearings,608ZZ or similar,6,AliExpress/Amazon,1.00,,NOT_ORDERED,"Cycloidal output + structural"
M3 Hardware Kit,"Bolts, nuts, washers assorted",1,AliExpress/Amazon,8.00,,NOT_ORDERED,"Assembly fasteners"
Wiring Kit,"22AWG silicone wire, connectors",1,AliExpress/Amazon,10.00,,NOT_ORDERED,"Power bus + signal wiring"
